# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Mais jogou em Campeonato;20240712;2;1;0;3;0;0;0
Manoel 2024;20240714;2;2;0;23;0;0;0
Marcelo 2024;20240710;2;2;0;4.5;0;0;0
Marcelo 2024;20240714;2;2;0;2;0;0;0
Marco Brito 2003 - Gols por Adversario;20240712;2;2;0;23.5;0;0;0
Marquinhos 2024;20240710;2;2;0;11.5;0;0;0
Martinelli 2024;20240714;2;2;0;6.5;0;0;0
Mascotes;20240710;2;2;2;19.5;0;0;0
Matheus Carvalho 2014;20240713;2;2;2;0;0;0;0
Melhores Duplas;20240714;2;2;0;41.5;0;0;0
Mineirao;20240713;2;2;2;0;0;0;0
Minutagem em Ano;20240710;2;1;0;10.5;0;0;0
Minutagem em Ano;20240711;2;1;0;0;0;0;0
Minutagem em Ano;20240712;2;1;0;1;0;0;0
Moacyrzao;20240713;2;2;2;0;0;0;0
Morumbi;20240713;2;2;2;0;0;0;0
Moca Bonita;20240713;2;2;2;0;0;0;0
Municipal Juiz Fora;20240711;2;2;0;11;0;0;0
Mario Jorge 1981;20240714;2;2;2;0;0;0;0
Nabi Abi Chedid;20240713;2;2;2;0;0;0;0
Nacional de Lima;20240713;2;2;2;0;0;0;0
Nilo 1952;20240714;2;2;2;2.5;0;0;0
Olimpico;20240714;2;2;2;0;0;0;0
Orlando Scarpelli;20240713;2;2;2;0;0;0;0
Oscar Scolfaro;20240713;2;2;2;0;0;0;0
Pacaembu;20240713;2;2;2;0;0;0;0
Participacoes em Gols contra Criciuma;20240711;2;1;0;0;0;0;0
Passagem de Tecnico;20240709;2;2;0;82.5;0;0;0
Paulistano 2 X 0 Fluminense;20240712;2;1;0;11.5;0;0;0
Paulo Cesar 2009;20240708;2;1;0;16.5;0;0;0
Paulo Henrique Ganso 2024;20240711;2;2;0;10;0;0;0
Paulo Henrique Ganso 2024;20240713;2;2;0;24;0;0;0
Paulo Henrique Ganso 2024 - Gols por Adversario;20240712;2;1;0;12.5;0;0;0
Pedro 2019;20240712;2;1;0;24;0;0;0
Pedro Amorim 1947;20240713;2;2;2;0;0;0;0
Pierre 2017;20240713;2;2;2;0;0;0;0
Pipico 1966;20240710;2;1;0;16.5;0;0;0
"Posicao rodada a rodada em 0 2010 1 2012 2 2015 3 2006 4 2022 5 2014 6 2020 7 2023 8 2005 9 2011 10 2004 11 2003 12 2007 13 2018 14 2017 15 2016 16 2013 17 2021 18 2008 19 2019 20 2009 Name: ano_brasileiro; dtype: int64";20240711;2;2;0;42;0;0;0
Presidentes;20240712;2;1;0;51;0;0;0
Procopio 1965;20240713;2;2;2;0;0;0;0
Proximos Jogos;20240708;2;2;0;11;0;0;0
Proximos Jogos;20240713;2;2;0;40;0;0;0
Ranking de Camisas;20240708;2;2;0;30.5;0;0;0
Ranking de tempo que nao perde;20240712;2;2;0;144;0;0;0
Ranking de tempo que nao vence;20240712;2;2;0;86.5;0;0;0
Raphael Claus;20240714;2;2;0;18.5;0;0;0
Renato Augusto 2024;20240710;2;2;0;25;0;0;0
Renato Augusto 2024;20240714;2;2;0;6.5;0;0;0
